2025-01-01 00:00:00 {"sensor_type":"gas","gas_concentration":31.013824462890625}
2025-01-01 00:00:01 {"sensor_type":"gas","gas_concentration":28.288906097412109}
2025-01-01 00:00:02 {"sensor_type":"gas","gas_concentration":30.925167083740234}
2025-01-01 00:00:03 {"sensor_type":"gas","gas_concentration":31.550683975219727}
2025-01-01 00:00:04 {"sensor_type":"gas","gas_concentration":30.4853458404541}
2025-01-01 00:00:05 {"sensor_type":"gas","gas_concentration":31.102716445922852}
2025-01-01 00:00:06 {"sensor_type":"gas","gas_concentration":28.288906097412109}
2025-01-01 00:00:07 {"sensor_type":"gas","gas_concentration":28.288906097412109}
2025-01-01 00:00:08 {"sensor_type":"gas","gas_concentration":28.288906097412109}
2025-01-01 00:00:09 {"sensor_type":"gas","gas_concentration":28.288906097412109}
2025-01-01 00:00:10 {"sensor_type":"gas","gas_concentration":27.642673492431641}
2025-01-01 00:00:11 {"sensor_type":"gas","gas_concentration":28.2073802947998}
2025-01-01 00:00:12 {"sensor_type":"gas","gas_concentration":28.288906097412109}
2025-01-01 00:00:13 {"sensor_type":"gas","gas_concentration":28.126077651977539}
2025-01-01 00:00:14 {"sensor_type":"gas","gas_concentration":28.288906097412109}
2025-01-01 00:00:15 {"sensor_type":"gas","gas_concentration":30.572849273681641}
2025-01-01 00:00:16 {"sensor_type":"gas","gas_concentration":33.212814331054688}
2025-01-01 00:00:17 {"sensor_type":"gas","gas_concentration":34.0737075805664}
2025-01-01 00:00:18 {"sensor_type":"gas","gas_concentration":34.5608139038086}
2025-01-01 00:00:19 {"sensor_type":"gas","gas_concentration":32.74322509765625}
2025-01-01 00:00:20 {"sensor_type":"gas","gas_concentration":32.74322509765625}
2025-01-01 00:00:21 {"sensor_type":"gas","gas_concentration":32.650043487548828}
2025-01-01 00:00:22 {"sensor_type":"gas","gas_concentration":33.5929298400879}
2025-01-01 00:00:23 {"sensor_type":"gas","gas_concentration":33.212814331054688}
2025-01-01 00:00:24 {"sensor_type":"gas","gas_concentration":33.5929298400879}
